ID	Genus	value	Group
SY15	Lactobacillus	0	CT2
SY15	Alloiococcus	0.001863151	CT2
SY15	Prevotella	0.1629622	CT2
SY15	Haemophilus	0.001104089	CT2
SY15	Bacteroides	0	CT2
SY15	Porphyromonas	0.481919035	CT2
SY15	Fusobacterium	9.20E-05	CT2
SY15	Stenotrophomonas	0	CT2
SY15	Moraxella	0	CT2
SY15	Anaerococcus	0.001242101	CT2
SY15	Sphingomonas	2.30E-05	CT2
SY15	Peptoniphilus	0.000460037	CT2
SY15	others	0.234099962	CT2
SY16	Corynebacterium	0.50365625	CT1
SY16	Propionibacterium	0.004976591	CT1
SY16	Staphylococcus	0.120837719	CT1
SY16	Streptococcus	0.05470741	CT1
SY16	Lactobacillus	0	CT1
SY16	Alloiococcus	0.004375069	CT1
SY16	Prevotella	0.002538422	CT1
SY16	Haemophilus	0.243745677	CT1
SY16	Bacteroides	0	CT1
SY16	Porphyromonas	0.003740463	CT1
SY16	Fusobacterium	0.00103562	CT1
SY16	Stenotrophomonas	0	CT1
SY16	Moraxella	0.00868397	CT1
SY16	Anaerococcus	0.002237661	CT1
SY16	Sphingomonas	0	CT1
SY16	Peptoniphilus	0.0066799	CT1
SY16	others	0.042785247	CT1
SY17	Corynebacterium	0.347287088	CT1
SY17	Propionibacterium	0.017991618	CT1
SY17	Staphylococcus	0.086102381	CT1
SY17	Streptococcus	0.336393388	CT1
SY17	Lactobacillus	0	CT1
SY17	Alloiococcus	0	CT1
SY17	Prevotella	0.026069716	CT1
SY17	Haemophilus	0.017868715	CT1
SY17	Bacteroides	0	CT1
SY17	Porphyromonas	0.018236409	CT1
SY17	Fusobacterium	0.021295787	CT1
SY17	Stenotrophomonas	0.000244791	CT1
SY17	Moraxella	0	CT1
SY17	Anaerococcus	0.0041005	CT1
SY17	Sphingomonas	0	CT1
SY17	Peptoniphilus	0.000366678	CT1
SY17	others	0.124042929	CT1
SY18	Corynebacterium	0.479691978	CT1
SY18	Propionibacterium	0.000324556	CT1
SY18	Staphylococcus	0.301201915	CT1
SY18	Streptococcus	0.010180705	CT1
SY18	Lactobacillus	0	CT1
SY18	Alloiococcus	0.000433446	CT1
SY18	Prevotella	0.005199243	CT1
SY18	Haemophilus	0.004115627	CT1
SY18	Bacteroides	0.002166175	CT1
